Branch,Process,Unit,Equipment Model,Equipment,Operator,Engine On (h),Average RPM,Effective Average Speed (km/h),Average Consumption (l/h),Average Consumption (l/ha)
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,81 - Frente 1,COLHEDORA JOHN DEERE CH570,62511 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,4613.2,1913.1,4.5,34.18,75.49
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,82 - Frente 2,COLHEDORA JOHN DEERE CH570,62510 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,4148.1,1959.2,4.7,33.84,73.28
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,201 - FRENTE 4,COLHEDORA JOHN DEERE CH570,62513 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,3451.4,1940.8,4.9,35.98,75.23
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,82 - Frente 2,COLHEDORA JOHN DEERE CH570,62503 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,3375.4,1964.4,4.3,33.12,101.66
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,83 - Frente 3,COLHEDORA JOHN DEERE CH570,62500 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,3272.7,1904.4,4.5,34.24,79.47
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,83 - Frente 3,COLHEDORA JOHN DEERE CH570,62509 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,2898.9,1993.6,4.5,35.64,96.81
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,81 - Frente 1,COLHEDORA JOHN DEERE CH570,62515 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,2485.8,1920.4,4.6,37.00,96.05
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,83 - Frente 3,COLHEDORA JOHN DEERE CH570,62502 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,2176.3,1951.0,4.9,35.75,119.55
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,81 - Frente 1,COLHEDORA JOHN DEERE CH570,62507 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,2130.1,1865.9,4.6,37.24,72.89
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,82 - Frente 2,COLHEDORA JOHN DEERE CH570,62500 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,2062.5,1919.7,4.4,32.59,95.22
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,82 - Frente 2,COLHEDORA JOHN DEERE CH570,62502 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,1782.4,1972.3,4.9,39.09,87.39
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,83 - Frente 3,COLHEDORA JOHN DEERE CH570,62503 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,1696.9,1875.3,4.4,33.90,72.67
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,82 - Frente 2,COLHEDORA JOHN DEERE CH570,62514 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,1618.0,1980.3,4.5,38.57,81.09
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,201 - FRENTE 4,COLHEDORA JOHN DEERE CH570,62516 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,1478.9,1944.0,4.7,33.89,88.63
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,81 - Frente 1,COLHEDORA JOHN DEERE CH570,62506 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,1444.9,1906.9,4.6,36.59,80.49
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,201 - FRENTE 4,COLHEDORA JOHN DEERE CH570,62506 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,1405.3,1960.5,4.5,35.69,79.45
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,83 - Frente 3,COLHEDORA JOHN DEERE CH570,62505 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,1397.8,1934.9,4.1,33.16,143.11
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,201 - FRENTE 4,COLHEDORA JOHN DEERE CH570,62514 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,1378.5,1931.0,4.9,36.30,114.88
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,83 - Frente 3,COLHEDORA JOHN DEERE CH570,62516 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,1361.6,1917.6,4.4,34.84,74.12
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,82 - Frente 2,COLHEDORA JOHN DEERE CH570,62501 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,1259.2,1929.5,4.6,31.69,105.87
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,201 - FRENTE 4,COLHEDORA JOHN DEERE CH570,62501 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,1198.6,1919.8,4.6,33.42,72.66
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,83 - Frente 3,COLHEDORA JOHN DEERE CH570,62508 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,1133.9,1981.0,4.3,39.24,168.21
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,81 - Frente 1,COLHEDORA JOHN DEERE CH570,62507 - COLHEDORA JOHN DEERE CH570,359240 - JORGE LUIS SILVA MATIAS,1131.8,1895.8,4.7,36.67,82.40
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,82 - Frente 2,COLHEDORA JOHN DEERE CH570,62512 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,1106.3,1885.8,4.5,34.88,65.99
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,81 - Frente 1,COLHEDORA JOHN DEERE CH570,62507 - COLHEDORA JOHN DEERE CH570,600742 - EDVAN CORDEIRO DOS SANTOS,1054.4,1919.5,4.3,35.01,93.55
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,201 - FRENTE 4,COLHEDORA JOHN DEERE CH570,62505 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,1007.4,1915.6,3.9,30.36,107.17
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,81 - Frente 1,COLHEDORA JOHN DEERE CH570,62507 - COLHEDORA JOHN DEERE CH570,359787 - JOSE PAULO DA SILVA,1006.5,1920.7,4.2,36.33,95.43
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,81 - Frente 1,COLHEDORA JOHN DEERE CH570,62504 - COLHEDORA JOHN DEERE CH570,359526 - CLAUDIO JOSE DA SILVA,912.9,1948.8,4.1,33.47,91.29
CAPINÓPOLIS - MG,VINHACA - 1 APLICACAO,361 - LOCALIZADA,TRATOR JOHN DEERE 7230J,62233 - TRATOR JOHN DEERE 7230J,600765 - RODRIGO GOMES VILARINHO,871.9,1606.1,4.2,8.49,
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,82 - Frente 2,COLHEDORA JOHN DEERE CH570,62508 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,853.0,1808.5,4.8,34.94,69.39
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,81 - Frente 1,COLHEDORA JOHN DEERE CH570,62504 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,851.3,1936.1,4.6,30.75,68.88
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,82 - Frente 2,COLHEDORA JOHN DEERE CH570,62509 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,821.7,1876.5,4.5,37.81,78.63
